ArmModuleId: 	1 	Time: 	5092441 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3168085825 	time_after_control_loop: 	3168117015 	T_diff: 	31190 	AngleAxisMust1: 	148.602 	AngleAxisMust0: 	114.945 	AngleWheelMust1: 	117.517 	AngleWheelMust0: 	179.688 	AngleAxisIs1: 	148.5 	AngleAxisIs0: 	115.83 	AngleWheelIs1: 	179.163 	AngleWheelIs0: 	117.837 	PositionError1: 	0.525391 	PositionError0: 	-0.321617 	CurrentMust0: 	11 	CurrentIs0: 	19 	CurrentMust1: 	-244 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	5188191 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3168181532 	time_after_control_loop: 	3168213128 	T_diff: 	31596 	AngleAxisMust1: 	140.274 	AngleAxisMust0: 	147.788 	AngleWheelMust1: 	124.882 	AngleWheelMust0: 	155.666 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.373 	AngleWheelIs0: 	117.667 	PositionError1: 	7.29315 	PositionError0: 	7.21411 	CurrentMust0: 	1582 	CurrentIs0: 	1585 	CurrentMust1: 	-1593 	CurrentIs1: 	-1591 	
ArmModuleId: 	1 	Time: 	5251939 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3168245302 	time_after_control_loop: 	3168279099 	T_diff: 	33797 	AngleAxisMust1: 	148.907 	AngleAxisMust0: 	115.576 	AngleWheelMust1: 	118.123 	AngleWheelMust0: 	179.691 	AngleAxisIs1: 	148.5 	AngleAxisIs0: 	115.83 	AngleWheelIs1: 	179.163 	AngleWheelIs0: 	117.837 	PositionError1: 	0.528397 	PositionError0: 	0.284248 	CurrentMust0: 	65 	CurrentIs0: 	63 	CurrentMust1: 	-247 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	5337236 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3168330556 	time_after_control_loop: 	3168363609 	T_diff: 	33053 	AngleAxisMust1: 	140.667 	AngleAxisMust0: 	148.106 	AngleWheelMust1: 	125.427 	AngleWheelMust0: 	155.907 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.463 	AngleWheelIs0: 	117.757 	PositionError1: 	7.44359 	PositionError0: 	7.66869 	CurrentMust0: 	1650 	CurrentIs0: 	1658 	CurrentMust1: 	-1616 	CurrentIs1: 	-1621 	
ArmModuleId: 	1 	Time: 	5397890 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3168391272 	time_after_control_loop: 	3168419398 	T_diff: 	28126 	AngleAxisMust1: 	149.214 	AngleAxisMust0: 	116.212 	AngleWheelMust1: 	118.734 	AngleWheelMust0: 	179.694 	AngleAxisIs1: 	148.5 	AngleAxisIs0: 	115.83 	AngleWheelIs1: 	179.163 	AngleWheelIs0: 	117.837 	PositionError1: 	0.531464 	PositionError0: 	0.895599 	CurrentMust0: 	137 	CurrentIs0: 	137 	CurrentMust1: 	-247 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	5487016 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3168480343 	time_after_control_loop: 	3168508413 	T_diff: 	28070 	AngleAxisMust1: 	141.036 	AngleAxisMust0: 	148.405 	AngleWheelMust1: 	125.938 	AngleWheelMust0: 	156.133 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.463 	AngleWheelIs0: 	117.757 	PositionError1: 	7.6694 	PositionError0: 	8.18021 	CurrentMust0: 	1727 	CurrentIs0: 	1732 	CurrentMust1: 	-1650 	CurrentIs1: 	-1650 	
ArmModuleId: 	1 	Time: 	5540525 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3168533867 	time_after_control_loop: 	3168564468 	T_diff: 	30601 	AngleAxisMust1: 	149.503 	AngleAxisMust0: 	116.81 	AngleWheelMust1: 	119.309 	AngleWheelMust0: 	179.697 	AngleAxisIs1: 	148.5 	AngleAxisIs0: 	115.74 	AngleWheelIs1: 	179.206 	AngleWheelIs0: 	117.794 	PositionError1: 	0.491302 	PositionError0: 	1.51283 	CurrentMust0: 	227 	CurrentIs0: 	232 	CurrentMust1: 	-244 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	5629513 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3168622839 	time_after_control_loop: 	3168652221 	T_diff: 	29382 	AngleAxisMust1: 	141.426 	AngleAxisMust0: 	148.722 	AngleWheelMust1: 	126.48 	AngleWheelMust0: 	156.372 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	148.416 	AngleWheelIs0: 	117.624 	PositionError1: 	7.95544 	PositionError0: 	8.85465 	CurrentMust0: 	1828 	CurrentIs0: 	1842 	CurrentMust1: 	-1693 	CurrentIs1: 	-1709 	
ArmModuleId: 	1 	Time: 	5687162 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3168680505 	time_after_control_loop: 	3168708621 	T_diff: 	28116 	AngleAxisMust1: 	149.808 	AngleAxisMust0: 	117.443 	AngleWheelMust1: 	119.916 	AngleWheelMust0: 	179.7 	AngleAxisIs1: 	148.59 	AngleAxisIs0: 	115.83 	AngleWheelIs1: 	179.253 	AngleWheelIs0: 	117.927 	PositionError1: 	0.447372 	PositionError0: 	1.98776 	CurrentMust0: 	321 	CurrentIs0: 	-48 	CurrentMust1: 	-240 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	5780207 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3168773547 	time_after_control_loop: 	3168807208 	T_diff: 	33661 	AngleAxisMust1: 	141.818 	AngleAxisMust0: 	149.039 	AngleWheelMust1: 	127.024 	AngleWheelMust0: 	156.612 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.373 	AngleWheelIs0: 	117.667 	PositionError1: 	8.23846 	PositionError0: 	9.35535 	CurrentMust0: 	1903 	CurrentIs0: 	1894 	CurrentMust1: 	-1735 	CurrentIs1: 	-1746 	
